Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
Genome assembly workflow for nanopore reads, for TSI	WorkflowHub	1114	https://workflowhub.eu/workflows/1114?version=1	Anna Syme	tsi, genome_assembly, nanopore	2024-09-03	2026-05-13	1	1	10.0	fastqc, collapse_dataset, fasta-stats, nanofilt, bandage_info, flye, bandage_image, split_file_to_collection, porechop	Genome assembly, De-novo assembly, Cross-assembly, Sequence composition calculation, Mapping assembly, Sequence assembly visualisation, Statistical calculation, Sequencing quality control		GPL-3.0-or-later	10.48546/workflowhub.workflow.1114.1	Australian BioCommons, Galaxy Australia	True	False
ERGA-BGE Genome Report ANNOT analyses	WorkflowHub	1096	https://workflowhub.eu/workflows/1096?version=2	Diego De Panis	annotation, biodiversity, erga, genomics, qc	2025-02-05	2026-05-13	2	2	13.0	collapse_dataset, pick_value, busco, omark, agat, tp_text_file_with_recurring_lines, lftp	Data handling, Sequence assembly validation, Genome annotation, Differential protein expression profiling	Genomics	MIT		ERGA Annotation	True	False
Galaxy Workflow ERGA-BGE Genome Report ASM analyses (one-asm Long Reads + HiC)	WorkflowHub	1104	https://workflowhub.eu/workflows/1104?version=2	Diego De Panis	genome assembly, genomics, qc	2024-11-04	2026-06-15	2	2	48.0	hicexplorer_hicplotmatrix, pick_value, bg_diamond, datasets_download_genome, __EXTRACT_DATASET__, tp_text_file_with_recurring_lines, cooler_cload_tabix, CONVERTER_fasta_to_fai, gfastats, fasterq_dump, __ZIP_COLLECTION__, blobtoolkit, Cut1, lftp, collapse_dataset, minimap2, smudgeplot, __FLATTEN__, genomescope, chromap, hicexplorer_hicmergematrixbins, __UNZIP_COLLECTION__, busco, merqury, cooler_csort_tabix, meryl, sambamba_merge, bedtools_makewindowsbed, sambamba_flagstat	Sequence assembly validation, Sequence trimming, De-novo assembly, Data parsing, Data deposition, Sequence database search, Sequence alignment analysis, Data handling, k-mer counting, Pairwise sequence alignment, Phasing, Data retrieval, Genome assembly, Genotyping, Scaffolding, Mapping, Visualisation	Genomics	MIT		ERGA Assembly	True	False
ERGA Long reads+HiC Assembly+QC Hifiasm v2602 (WF2)	WorkflowHub	605	https://workflowhub.eu/workflows/605?version=2	Diego De Panis	assembly+qc, erga, hi-c, hifi	2026-02-11	2026-05-13	2	2	25.0	pick_value, busco, merqury, gfa_to_fa, bandage_image, param_value_from_file, gfastats, hifiasm	Data handling, Sequence assembly validation, k-mer counting, Phasing, De-novo assembly, Sequence assembly visualisation, Genome assembly, Scaffolding	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Profiling Long Reads v2602 (WF1)	WorkflowHub	603	https://workflowhub.eu/workflows/603?version=2	Diego De Panis	erga, profiling	2024-09-18	2026-05-13	2	2	17.0	smudgeplot, Add_a_column1, genomescope, tp_grep_tool, meryl, tp_find_and_replace, Cut1, param_value_from_file, Convert characters1, tp_cut_tool	k-mer counting, Genotyping, Sequence trimming	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC HiFi v2601 (WF0)	WorkflowHub	602	https://workflowhub.eu/workflows/602?version=2	Diego De Panis	dataqc, erga, hifi	2024-09-18	2026-05-13	2	2	5.0	fastqc, collapse_dataset, seqkit_stats, cutadapt, multiqc	Primer removal, Sequence conversion, DNA translation, Sequence trimming, Read pre-processing, Validation, Sequence composition calculation, DNA transcription, Statistical calculation, Sequencing quality control	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC Illumina v2601 (WF0)	WorkflowHub	601	https://workflowhub.eu/workflows/601?version=2	Diego De Panis	dataqc, erga, illumina	2024-09-18	2026-05-13	2	2	7.0	fastqc, collapse_dataset, fastp, seqkit_stats, __FLATTEN__, multiqc	Sequence conversion, DNA translation, Sequence trimming, Validation, Sequence composition calculation, Sequence contamination filtering, DNA transcription, Statistical calculation, Sequencing quality control	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA DataQC ONT v2505 (WF0)	WorkflowHub	697	https://workflowhub.eu/workflows/697?version=1	Diego De Panis	dataqc, erga, ont	2024-01-08	2026-05-13	1	1	3.0	seqkit_stats, collapse_dataset, nanoplot	Sequence conversion, DNA translation, DNA transcription, Sequence trimming, Scatter plot plotting, Box-Whisker plot plotting	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Long Reads PriAlt Purge+QC v2505 (WF3)	WorkflowHub	1163	https://workflowhub.eu/workflows/1163?version=2	Diego De Panis	assembly, erga, hifi, qc	2025-06-01	2026-05-13	2	2	25.0	minimap2, purge_dups, cat1, busco, merqury, gfa_to_fa, param_value_from_file, gfastats	Read binning, Sequence assembly validation, k-mer counting, Data handling, De-novo assembly, Pairwise sequence alignment, Phasing, Genome assembly, Scaffolding	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA HiC Pri Scaffolding+QC YaHS v2505 (WF4)	WorkflowHub	1164	https://workflowhub.eu/workflows/1164?version=2	Diego De Panis	assembly, erga, hic, qc	2025-02-03	2026-05-13	2	2	33.0	yahs, pick_value, gfa_to_fa, __EXTRACT_DATASET__, pairtools_sort, CONVERTER_fasta_to_fai, bwa_mem2, param_value_from_file, gfastats, pretext_snapshot, pairtools_dedup, pairtools_split, Cut1, pretext_map, pairtools_parse, busco, merqury, sambamba_merge, sambamba_flagstat	Data handling, Sequence assembly validation, k-mer counting, De-novo assembly, Phasing, Scaffolding, Genome assembly, Sequence alignment	Whole genome sequencing	MIT		ERGA Assembly	True	False
