Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Large genome assembly and polishing	https://training.galaxyproject.org//topics/assembly/tutorials/largegenome/tutorial.html	Genomics, Sequence assembly, Biodiversity	Cross-assembly, Sequence assembly visualisation, Sequence composition calculation, Sequence assembly validation, Genome assembly, De-novo assembly, Base-calling, Visualisation, Box-Whisker plot plotting, Sequence contamination filtering, Scatter plot plotting, Validation, Sequencing quality control, Variant calling, Sequence assembly, Pairwise sequence alignment, Statistical calculation, Mapping assembly	2023-03-06	2026-01-23	15	True	False	True	True	barchart_gnuplot, busco, flye, fastp, genomescope, minimap2, nanoplot, meryl, bandage_image, fastqc, medaka_consensus_pipeline, fasta-stats, quast, multiqc, racon	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu	UseGalaxy.cz	0		8567	11009	5.383333333333334	0
Assembly	Using the VGP workflows to assemble a vertebrate genome with HiFi and Hi-C data	https://training.galaxyproject.org//topics/assembly/tutorials/vgp_workflow_training/tutorial.html	Sequence assembly, Chromosome conformation capture	Sequence assembly validation, Visualisation	2022-04-06	2026-05-18	27	True	False	True	False	quast	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)		0		4917	6461	6.916666666666667	0
Assembly	Assembly of the mitochondrial genome from PacBio HiFi reads	https://training.galaxyproject.org//topics/assembly/tutorials/mitochondrion-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity, Mitochondria		2024-09-03	2026-04-22	5	True	False	True	True	mitohifi, compress_file	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)		0		1369	1632	11.3	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Sequencing quality control, Sequence composition calculation, Sequence assembly validation, Genome annotation, Genome assembly, Visualisation, Aggregation, Statistical calculation, Validation, Gene prediction, Coding region prediction	2017-10-11	2026-01-23	25	True	True	False	True	unicycler, prokka, quast, fastqc, multiqc	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		3941045	9274548	7.083333333333333	0
Assembly	Chloroplast genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/chloroplast-assembly/tutorial.html		Cross-assembly, Genome indexing, Sequence assembly visualisation, Genome annotation, Genome assembly, Read mapping, De-novo assembly, Box-Whisker plot plotting, Scatter plot plotting, Analysis, Gene prediction, Coding region prediction, Genome visualisation, Generation, Sequence assembly, Mapping assembly, Read alignment, Sequence alignment	2020-12-04	2026-01-23	22	True	False	True	True	fasta-stats, pilon, nanoplot, jbrowse, prokka, upload1, bandage_image, bwa_mem, flye, bandage_info	UseGalaxy.eu	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		8827	13588	7.95	0
Assembly	ERGA post-assembly QC	https://training.galaxyproject.org//topics/assembly/tutorials/ERGA-post-assembly-QC/tutorial.html	Genomics, Sequence assembly, Biodiversity	Sequence assembly visualisation, Genotyping, Data handling, Phasing, Sequence assembly validation, Genome assembly, k-mer counting, De-novo assembly, Visualisation, Data parsing, Sequence alignment analysis, Pairwise sequence alignment, Scaffolding, Data deposition, Sequence alignment, Sequence trimming	2023-06-23	2025-06-04	8	True	False	True	True	blobtoolkit, bg_diamond, CONVERTER_gz_to_uncompressed, samtools_stats, tp_find_and_replace, smudgeplot, bellerophon, gfastats, genomescope, __EXTRACT_DATASET__, minimap2, interactive_tool_blobtoolkit, pretext_snapshot, meryl, busco, bwa_mem2, pretext_map, merqury, bandage_image, collapse_dataset	UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.org (Main)	0		2648	3363	8.633333333333333	0
Assembly	Vertebrate genome assembly using HiFi, Bionano and Hi-C data - Step by Step	https://training.galaxyproject.org//topics/assembly/tutorials/vgp_genome_assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Primer removal, Read pre-processing, Data handling, Phasing, Sequence assembly validation, Genome assembly, De-novo assembly, k-mer counting, Visualisation, Mapping, Pairwise sequence alignment, Scaffolding, Read binning, Sequence alignment, Sequence trimming	2021-06-04	2026-04-13	59	True	False	True	True	collection_column_join, bedtools_bamtobed, salsa, quast, tp_find_and_replace, collapse_dataset, yahs, bellerophon, Add_a_column1, gfastats, Convert characters1, tp_cut_tool, genomescope, cutadapt, hifiasm, minimap2, pretext_snapshot, meryl, purge_dups, tp_grep_tool, busco, sort1, bwa_mem2, pretext_map, merqury, gfa_to_fa, bionano_scaffold, cat1		UseGalaxy.cz	0		19858	28623	3.15	0
Assembly	Decontamination of a genome assembly	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-decontamination/tutorial.html	Genomics, Sequence assembly, Biodiversity	Data handling, Taxonomic classification	2024-09-04	2025-06-04	5	True	False	True	True	parse_mito_blast, Filter1, ncbi_blastn_wrapper, ncbi_dustmasker_wrapper, Cut1, tp_cat, tp_sed_tool, gfastats, kraken2	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz	0		2307	2790	9.15	0
Assembly	Genome assembly using PacBio data	https://training.galaxyproject.org//topics/assembly/tutorials/hifi-assembly/tutorial.html	Genomics, Sequence assembly, Biodiversity	Cross-assembly, Mapping assembly, Sequence assembly validation, Genome assembly, De-novo assembly, Visualisation	2021-11-29	2025-06-04	2	True	False	False	True	busco, hifiasm, gfa_to_fa, quast, fasta-stats, flye	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.cz, UseGalaxy.no	0		1925	2320	5.916666666666667	0
Assembly	Genome Assembly Quality Control	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-quality-control/tutorial.html	Biodiversity, Sequence assembly, Data quality management	Scaffolding, De-novo assembly, Sequence assembly validation, Genome assembly, k-mer counting, Visualisation, Phasing	2022-08-26	2025-06-04	6	True	True	False	True	chromeister, busco, merqury, meryl, quast	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr	UseGalaxy.cz	0		3027645	6298986	10.25	0
Assembly	Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads	https://training.galaxyproject.org//topics/assembly/tutorials/assembly-with-preprocessing/tutorial.html		Sequence assembly visualisation, Sequencing quality control, Data handling, Genome assembly, Read mapping, Box-Whisker plot plotting, Aggregation, Sequence file editing, Pairwise sequence alignment, Sequence contamination filtering, Scatter plot plotting, Validation	2020-04-21	2025-05-15	14	True	True	True	True	fastp, fasta_filter_by_length, minimap2, bowtie2, nanoplot, unicycler, samtools_fastx, seqtk_sample, samtools_view, bandage_image, samtools_stats, fasterq_dump, __ZIP_COLLECTION__, collapse_dataset, multiqc, bandage_info	UseGalaxy.org.au, UseGalaxy.eu	Galaxy@AuBi, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	0		3934143	9262581	10.65	0
Climate	Getting your hands-on earth data	https://training.galaxyproject.org//topics/climate/tutorials/earth_system/tutorial.html			2024-10-04	2025-05-10	2	True	False	False	False	c3s, spocc_occ, argo_getdata, obis_data	UseGalaxy.eu	UseGalaxy.be	0		204	248	11.466666666666667	0
Ecology	RAD-Seq Reference-based data analysis	https://training.galaxyproject.org//topics/ecology/tutorials/ref-based-rad-seq/tutorial.html		Genome indexing, Data handling, Sequencing quality control, Sequence composition calculation, Read mapping, Generation, Statistical calculation, Validation, Sequence alignment	2017-02-14	2026-05-07	16	True	False	False	True	stacks_refmap, multiqc, bwa_wrapper, tp_sort_header_tool, tp_replace_in_line, Grep1, Filter1, bwa, Cut1, stacks_procrad, stacks_populations, fastqc, addValue, cat1, Summary_Statistics1, Convert characters1, Count1, regex_replace			0		3532	5365	4.866666666666666	0
Ecology	Sentinel 2 biodiversity	https://training.galaxyproject.org//topics/ecology/tutorials/remote-sensing/tutorial.html			2023-04-13	2025-12-08	7	True	False	False	True	srs_spectral_indices, srs_pca, srs_process_data, srs_diversity_maps, srs_preprocess_s2, srs_global_indices	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr		0		712	896	7.05	0
Ecology	Champs blocs indicators	https://training.galaxyproject.org//topics/ecology/tutorials/champs-blocs/tutorial.html			2023-01-04	2026-05-07	13	True	False	False	True	cb_qecb, cb_ivr, cb_dissim, cb_eco, cb_div			0		223	376	14.633333333333333	0
Ecology	RAD-Seq de-novo data analysis	https://training.galaxyproject.org//topics/ecology/tutorials/de-novo-rad-seq/tutorial.html		Sequence composition calculation, Statistical calculation, Data handling, Sequencing quality control	2017-02-14	2026-05-07	15	True	False	False	True	stacks_procrad, stacks_denovomap, stacks_populations, fastqc	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.no	0		2831	4444	5.3	0
Ecology	RAD-Seq to construct genetic maps	https://training.galaxyproject.org//topics/ecology/tutorials/genetic-map-rad-seq/tutorial.html		Data handling	2017-02-14	2026-05-07	14	True	False	False	True	stacks_denovomap, stacks_genotypes	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no		0		982	1344	8.583333333333334	0
Ecology	Phylodiversity analysis quick tutorial	https://training.galaxyproject.org//topics/ecology/tutorials/phylodiversity_workflow/tutorial.html			2025-06-06	2026-05-07	2	True	False	False	False	crsconverter, phylogenetic_occupancy_matcher, phylo_index, estimate_endem	UseGalaxy.eu	UseGalaxy.fr	0		153	183	20.4	0
Ecology	Preparing genomic data for phylogeny reconstruction	https://training.galaxyproject.org//topics/ecology/tutorials/phylogeny-data-prep/tutorial.html		Sequence analysis, Sequence assembly validation, Genetic variation analysis, Genome annotation, Sequence clustering, Multiple sequence alignment	2022-10-21	2025-06-03	5	True	False	False	True	proteinortho, busco, phykit_alignment_based, tp_replace_in_line, Filter1, glimmer_gbk_to_orf, proteinortho_grab_proteins, repeatmasker_wrapper, clustalw, regex1, funannotate_predict, collapse_dataset, clipkit	UseGalaxy.be		0		2499	3395	6.966666666666667	0
Ecology	Creating FAIR Quality assessment reports and draft of Data Papers from EML metadata with MetaShRIMPS	https://training.galaxyproject.org//topics/ecology/tutorials/Metashrimps_tutorial/tutorial.html			2024-01-22	2026-05-07	7	True	False	False	False	interactive_tool_metashrimps	UseGalaxy.eu		0		165	177	10.666666666666666	0
Ecology	Cleaning GBIF data for the use in Ecology	https://training.galaxyproject.org//topics/ecology/tutorials/gbif_cleaning/tutorial.html			2022-10-28	2025-06-03	6	True	False	False	True	spocc_occ, gdal_ogr2ogr, Filter1, Summary_Statistics1, Count1	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no		0		805	984	6.216666666666667	0
Ecology	Creating metadata using Ecological Metadata Language (EML) standard with EML Assembly Line functionalities	https://training.galaxyproject.org//topics/ecology/tutorials/MetaShARK_tutorial/tutorial.html			2024-03-04	2026-05-07	9	True	False	False	False	interactive_tool_metashark	UseGalaxy.eu, UseGalaxy.fr		0		354	417	4.766666666666667	0
Ecology	Obis marine indicators	https://training.galaxyproject.org//topics/ecology/tutorials/obisindicators/tutorial.html	Biodiversity, Ecology, Data mining		2023-04-11	2026-05-19	10	True	False	False	True	tp_cut_tool, obisindicators, obis_data	UseGalaxy.eu	UseGalaxy.be, UseGalaxy.fr	0		389	479	13.333333333333334	0
Ecology	Life Traits Ecoregionalization workflow	https://training.galaxyproject.org//topics/ecology/tutorials/ecoregiolifetraits/tutorial.html			2025-06-02	2026-05-07	4	True	False	False	False	tp_cut_tool, ecoregion_eco_map, column_remove_by_header, ecoregion_brt_analysis, ecoregion_GeoNearestNeighbor, Filter1, ecoregion_taxa_seeker, WormsMeasurements, regexColumn1, ClaraGuess, unzip	UseGalaxy.eu	UseGalaxy.fr	0		90	95	20.883333333333333	0
Ecology	Compute and analyze biodiversity metrics with PAMPA toolsuite	https://training.galaxyproject.org//topics/ecology/tutorials/PAMPA-toolsuite-tutorial/tutorial.html			2020-11-19	2026-05-07	24	True	False	True	True	pampa_glmsp, tp_cut_tool, pampa_glmcomm, Filter1, mergeCols1, pampa_presabs, tp_easyjoin_tool, tp_cat, pampa_communitymetrics, pampa_plotglm, regex1, regexColumn1, datamash_transpose, tp_sort_header_tool, Count1	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.fr	0		1196	1571	11.1	0
Ecology	Species distribution modeling	https://training.galaxyproject.org//topics/ecology/tutorials/species-distribution-modeling/tutorial.html			2019-07-04	2026-05-07	19	True	False	False	True	tp_cut_tool, spocc_occ, Filter1, tabular_to_csv, interactive_tool_wallace, tp_find_and_replace	UseGalaxy.eu, UseGalaxy.fr		0		3523	5234	3.95	0
Ecology	Marine Omics identifying biosynthetic gene clusters	https://training.galaxyproject.org//topics/ecology/tutorials/marine_omics_bgc/tutorial.html		Genome annotation, Protein feature detection, Sequence motif recognition	2024-08-19	2025-06-03	3	True	False	False	True	SanntiS_marine, prodigal, regex1, sanntis_marine, interproscan			0		319	358	12.1	0
Ecology	Regional GAM	https://training.galaxyproject.org//topics/ecology/tutorials/regionalGAM/tutorial.html	Ecology	Visualisation	2019-07-04	2026-05-07	19	True	False	False	True	ggplot2_point, regionalgam_glmmpql, regionalgam_ab_index, Remove beginning1, regionalgam_autocor_acf, Paste1, tab2csv_R, Filter1, mergeCols1, regionalgam_flight_curve, regexColumn1, regionalgam_gls, tp_awk_tool, regionalgam_plot_trend, csv2tab_R, flight-curve, Count1			0		402	520	16.383333333333333	0
Ecology	Ecoregionalization workflow tutorial	https://training.galaxyproject.org//topics/ecology/tutorials/Ecoregionalization_tutorial/tutorial.html			2024-09-16	2026-05-22	8	True	False	False	True	tp_cut_tool, ecoregion_eco_map, filter_tabular, ecoregion_brt_analysis, ecoregion_GeoNearestNeighbor, mergeCols1, ecoregion_taxa_seeker, regexColumn1, ecoregion_clara_cluster, ecoregion_cluster_estimate, unzip, interactive_tool_jupyter_notebook	UseGalaxy.eu		0		462	574	7.983333333333333	0
