Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
metagenomic-raw-reads-amr-analysis/main	WorkflowHub	2068	https://workflowhub.eu/workflows/2068?version=2	ABRomics None, Hugo Lefeuvre		2026-02-26	2026-05-14	2	2	20.0	"tooldistillator_summarize, sylph_profile, Remove a collection level so that outputs can be taken into account by tooldistillator
__FLATTEN__, argnorm, deeparg_short_reads, Removal of the first line because it is not necessary for tooldistillator
Remove beginning1, __RELABEL_FROM_FILE__, __UNZIP_COLLECTION__, Removal of the first argNorm line that causes a multiQC error
Remove beginning1, fastq_paired_end_interlacer, groot, tooldistillator, multiqc, __FILTER_FAILED_DATASETS__, tp_text_file_with_recurring_lines, table_pandas_rename_column, collection_element_identifiers"	Gene functional annotation, Data parsing, Taxonomic classification, Validation, Sequencing quality control, Antimicrobial resistance prediction		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
cgmlst-bacterial-genome/main	WorkflowHub	2055	https://workflowhub.eu/workflows/2055?version=2	ABRomics None, Clea Siguret, Hugo Lefeuvre		2026-03-13	2026-05-14	2	2	3.0	tooldistillator_summarize, coreprofiler_allele_calling, tooldistillator	Data parsing, Multilocus sequence typing		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
bacterial-quality-and-contamination-control-post-assembly/main	WorkflowHub	1882	https://workflowhub.eu/workflows/1882?version=3	ABRomics None, Pierre Marin, Clea Siguret		2025-12-04	2026-05-13	3	3	14.0	collapse_dataset, tooldistillator_summarize, checkm2, quast, pick_value, recentrifuge, tooldistillator, kraken2, est_abundance	Sequence assembly validation, Cross-assembly, Data parsing, Validation, Taxonomic classification, Sequence composition calculation, Expression analysis, Statistical calculation, Sequencing quality control, Visualisation		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE	WorkflowHub	155	https://workflowhub.eu/workflows/155?version=7	Peter van Heusden	virology	2026-03-10	2026-05-13	7	7	16.0	fastp, samtools_stats, ivar_trim, qualimap_bamqc, __FLATTEN__, ivar_variants, bwa_mem, snpeff_sars_cov_2, nextclade, tp_sed_tool, multiqc, pangolin, samtools_view, ivar_consensus, tp_cat	Primer removal, Tree-based sequence alignment, Validation, Sequence alignment, Generation, Sequence contamination filtering, Variant calling, Read mapping, Variant classification, Genome indexing, SNP detection, Sequencing quality control, Methylation analysis		MIT		Intergalactic Workflow Commission (IWC)	True	False
sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA	WorkflowHub	113	https://workflowhub.eu/workflows/113?version=4	Wolfgang Maier	virology, covid-19, covid19.galaxyproject.org, emergen_validated	2021-12-21	2026-05-14	4	4	11.0	fastp, samtools_stats, lofreq_filter, lofreq_indelqual, lofreq_viterbi, snpeff_sars_cov_2, bwa_mem, multiqc, samtools_view, lofreq_call, picard_MarkDuplicates	Formatting, Validation, Generation, Sequence contamination filtering, Read mapping, Genome indexing, SNP detection, Sequence alignment, Sequencing quality control		MIT		Intergalactic Workflow Commission (IWC)	True	False
generic-non-segmented-viral-variant-calling/main	WorkflowHub	1876	https://workflowhub.eu/workflows/1876?version=2	Peter van Heusden, Wolfgang Maier	virology	2025-12-05	2026-05-13	2	2	23.0	ivar_variants, calculate_numeric_param, map_param_value, pick_value, tp_sed_tool, samtools_view, snpEff, samtools_stats, snpEff_build_gb, bwa_mem, ivar_consensus, fastp, qualimap_bamqc, tp_find_and_replace, snpSift_extractFields, tp_cat, collapse_dataset, ivar_trim, lofreq_viterbi, __FLATTEN__, multiqc, __FILTER_FAILED_DATASETS__	Primer removal, Validation, Generation, Sequence contamination filtering, Read mapping, Genome indexing, Sequence alignment, Sequencing quality control		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
influenza-isolates-consensus-and-subtyping/main	WorkflowHub	1260	https://workflowhub.eu/workflows/1260?version=3	Viktoria Isabel Schwarz, Wolfgang Maier, Aaron Kolbecher, Saim Momin	virology	2026-02-12	2026-05-13	3	3	68.0	"Show beginning1, bwa mem will fail if no reference for any segment got suggested by vapor, i.e. the reference genome is empty. In that case, we need to skip further analysis of the sample.
__FILTER_FAILED_DATASETS__, samtools_view, tp_text_file_with_recurring_lines, __HARMONIZELISTS__, This seemingly no-op transformation will remove samples with no remaining segment results (cases where vapor failed for  every segment).
__APPLY_RULES__, bwa_mem, snipit, Filter1, param_value_from_file, collection_element_identifiers, bamtools_split_ref, ivar_consensus, __FILTER_FROM_FILE__, fastp, __MERGE_COLLECTION__, qualimap_bamqc, iqtree, Paste1, __DUPLICATE_FILE_TO_COLLECTION__, tp_find_and_replace, vapor, Grep1, Cut1, tp_cat, __APPLY_RULES__, collapse_dataset, seqtk_subseq, __FLATTEN__, __RELABEL_FROM_FILE__, rbc_mafft, __UNZIP_COLLECTION__, tp_easyjoin_tool, __FILTER_FAILED_DATASETS__, wc_gnu"	Data handling, Primer removal, Sequence analysis, De-novo assembly, Base position variability plotting, Generation, Sequence contamination filtering, Data retrieval, Read mapping, Multiple sequence alignment, Sequence alignment analysis, Phylogenetic analysis, Genome indexing, Sequence file editing, Sequence alignment, Sequencing quality control		AGPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
pox-virus-amplicon/main	WorkflowHub	439	https://workflowhub.eu/workflows/439?version=4	Viktoria Isabel Schwarz, Wolfgang Maier	virology, pox	2025-10-11	2026-05-13	4	4	40.0	tp_sed_tool, split_file_to_collection, samtools_view, datamash_ops, samtools_stats, bwa_mem, __SORTLIST__, param_value_from_file, collection_element_identifiers, ivar_consensus, __ZIP_COLLECTION__, fastp, compose_text_param, qualimap_bamqc, Grep1, Cut1, tp_cat, __APPLY_RULES__, fasta_compute_length, ivar_trim, EMBOSS: maskseq51, __FLATTEN__, samtools_merge, multiqc, __FILTER_FAILED_DATASETS__	Primer removal, Global alignment, Sequence analysis, Validation, Local alignment, Generation, Sequence contamination filtering, Read mapping, Sequence alignment analysis, Genome indexing, Sequence alignment, Sequencing quality control		MIT		Intergalactic Workflow Commission (IWC)	True	False
allele-based-pathogen-identification/main	WorkflowHub	1063	https://workflowhub.eu/workflows/1063?version=5	Engy Nasr, Bérénice Batut, Paul Zierep		2025-03-26	2026-05-14	5	5	23.0	minimap2, snpSift_filter, table_compute, collapse_dataset, Count1, bcftools_norm, bcftools_consensus, CONVERTER_gz_to_uncompressed, Remove beginning1, tp_head_tool, samtools_coverage, Paste1, snpSift_extractFields, Cut1, samtools_depth, tp_cut_tool, regexColumn1, clair3	Variant calling, Pairwise sequence alignment		MIT		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-complete/main	WorkflowHub	1274	https://workflowhub.eu/workflows/1274?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2026-05-14	2	2	20.0	, __MERGE_COLLECTION__, CONVERTER_uncompressed_to_gz, fastq_dl, tp_awk_tool, CONVERTER_gz_to_uncompressed			Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-its/main	WorkflowHub	1273	https://workflowhub.eu/workflows/1273?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2026-05-14	2	2	30.0	, biom_convert, __FILTER_EMPTY_DATASETS__, collection_element_identifiers, tp_awk_tool, taxonomy_krona_chart, bedtools_maskfastabed, mapseq, __FILTER_FROM_FILE__	k-mer counting, Formatting, Mapping, Visualisation		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-quality-control-paired-end/main	WorkflowHub	1272	https://workflowhub.eu/workflows/1272?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2026-05-14	2	2	17.0	fastqc, fastp, cshl_fasta_formatter, trimmomatic, fastq_to_fasta_python, __UNZIP_COLLECTION__, prinseq, multiqc, fastq_filter, tp_find_and_replace, mgnify_seqprep	Read pre-processing, Sequence trimming, Validation, Statistical calculation, Sequence composition calculation, Nucleic acid design, Sequencing quality control, Sequence contamination filtering		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-quality-control-single-end/main	WorkflowHub	1271	https://workflowhub.eu/workflows/1271?version=3	Rand Zoabi, Paul Zierep		2025-03-26	2026-05-14	3	3	14.0	fastqc, cshl_fasta_formatter, trimmomatic, fastq_to_fasta_python, prinseq, multiqc, fastq_filter, tp_find_and_replace	Read pre-processing, Sequence trimming, Validation, Statistical calculation, Sequence composition calculation, Sequencing quality control, Sequence contamination filtering		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
mgnify-amplicon-pipeline-v5-rrna-prediction/main	WorkflowHub	1270	https://workflowhub.eu/workflows/1270?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2026-05-14	2	2	47.0	, __FILTER_FROM_FILE__, query_tabular, cshl_fasta_formatter, biom_convert, bedtools_getfastabed, cmsearch_deoverlap, gops_concat_1, taxonomy_krona_chart, infernal_cmsearch, collection_element_identifiers, tp_awk_tool, mapseq, __FILTER_EMPTY_DATASETS__	k-mer counting, Formatting, Nucleic acid feature detection, Comparison, Mapping, Alignment, Visualisation		Apache-2.0		Intergalactic Workflow Commission (IWC)	True	False
