Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Assembly of metagenomic sequencing data	https://training.galaxyproject.org//topics/assembly/tutorials/metagenomics-assembly/tutorial.html	Metagenomics, Sequence assembly	Local alignment, Genome assembly, Statistical calculation, Sequence file editing, Variant calling, Sequence composition calculation, Sequence contamination filtering, Formatting, Sequence alignment analysis, Sequence assembly validation, Visualisation, Data handling, Sequencing quality control, Read mapping, Sequence trimming, Primer removal, Sequence assembly visualisation, Read pre-processing	2025-04-27	2025-04-27	0	True	False	True	True	metaspades, megahit, filter_tabular, bandage_info, bandage_image, collection_column_join, coverm_contig, megahit_contig2fastg, ngsutils_bam_filter, quast, bowtie2, cutadapt, random_lines1, tp_cat, seqtk_subseq, fastqc, bg_uniq, bamtools		UseGalaxy.cz, UseGalaxy.eu	0		3	3	0.0	0
Assembly	Genome Assembly of MRSA from Oxford Nanopore MinION data (and optionally Illumina data)	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-nanopore/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology, Antimicrobial resistance	Sequence assembly visualisation, Sequencing error detection, Sequence assembly validation, Visualisation, Genome assembly, Cross-assembly, Box-Whisker plot plotting, Sequencing quality control, Read mapping, Mapping assembly, Scatter plot plotting, Statistical calculation, Sequence alignment, De-novo assembly, Filtering, Sequence composition calculation, Sequence contamination filtering	2021-03-24	2024-11-29	15	True	False	False	True	CONVERTER_bz2_to_uncompressed, porechop, flye, filtlong, quast, upload1, fastp, polypolish, nanoplot, fastqc, bwa_mem2, bandage_image	UseGalaxy.eu	UseGalaxy.cz	0		8860	13363	3.3833333333333333	0
Assembly	Genome Assembly of a bacterial genome (MRSA) sequenced using Illumina MiSeq Data	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-illumina/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology	Visualisation, Sequence assembly validation, Genome assembly, Sequencing quality control, Sequence composition calculation, Read mapping, Statistical calculation, Sequence assembly visualisation, Sequence contamination filtering	2021-03-24	2025-03-20	16	True	False	True	True	shovill, quast, fastp, upload1, fastqc, bandage_info, falco, bandage_image	UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		8459	13260	3.7	0
Assembly	Making sense of a newly assembled genome	https://training.galaxyproject.org//topics/assembly/tutorials/ecoli_comparison/tutorial.html	Sequence assembly, Genomics, Microbiology	Sequence visualisation, Genome visualisation, Read mapping, Sequence alignment, Mapping	2018-06-14	2024-06-24	29	True	False	False	True	lastz_wrapper_2, tp_sort_header_tool, Grep1, Filter1, Cut1, circos_interval_to_tiles, tp_sed_tool, bedtools_intersectbed, random_lines1, tp_cat, upload1, tp_grep_tool, fasta_filter_by_length, circos, jbrowse, tp_replace_in_column, datamash_ops, addValue, bedtools_complementbed, circos_aln_to_links, collapse_dataset, mergeCols1, bedtools_sortbed, join1, cat1, tp_replace_in_line, fasta_compute_length			0		6444	12669	2.9833333333333334	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Gene prediction, Sequence assembly validation, Visualisation, Genome assembly, Sequencing quality control, Statistical calculation, Aggregation, Validation, Genome annotation, Sequence composition calculation, Coding region prediction	2017-10-11	2024-03-13	23	True	True	False	True	multiqc, unicycler, prokka, quast, fastqc	UseGalaxy.eu, UseGalaxy.org (Main), UseGalaxy.org.au	GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		2478597	6752977	4.633333333333334	0
Ecology	Checking expected species and contamination in bacterial isolate	https://training.galaxyproject.org//topics/ecology/tutorials/bacterial-isolate-species-contamination-checking/tutorial.html	Whole genome sequencing, Genomics, Microbiology, Microbial ecology	Cross-assembly, Taxonomic classification, Statistical calculation, Expression analysis	2024-03-04	2024-06-27	4	True	False	False	True	upload1, est_abundance, recentrifuge, kraken2	UseGalaxy.eu, UseGalaxy.fr	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.cz, UseGalaxy.org (Main)	0		659	906	3.5833333333333335	0
Evolution	Tree thinking for tuberculosis evolution and epidemiology	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_phylogeny/tutorial.html	Genomics, Microbiology, Phylogeny, Infectious disease	Phylogenetic tree analysis, Sequence analysis	2022-03-16	2024-03-12	11	True	False	False	True	upload1, raxml, interactive_tool_rstudio	UseGalaxy.eu	UseGalaxy.org (Main)	0		1797	2636	2.1333333333333333	0
Evolution	Identifying tuberculosis transmission links: from SNPs to transmission clusters	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_transmission/tutorial.html	Genomics, Microbiology, Infectious disease, DNA polymorphism	Phylogenetic tree visualisation, Variant calling, Phylogenetic tree generation, Antimicrobial resistance prediction	2022-03-16	2024-07-12	12	True	False	False	True	trimmomatic, snp_sites, Grep1, bcftools_consensus, snp_dists, tp_sed_tool, samtools_view, addName, collapse_dataset, tb_profiler_profile, upload1, tp_easyjoin_tool, __MERGE_COLLECTION__, tp_replace_in_line, tb_variant_filter, tp_cat, tp_grep_tool, snippy	UseGalaxy.eu	UseGalaxy.cz, UseGalaxy.no, UseGalaxy.org (Main)	0		2151	3180	2.8	0
Evolution	Phylogenetic analysis for bacterial comparative genomics	https://training.galaxyproject.org//topics/evolution/tutorials/bacterial-comparative-genomics/tutorial.html	Genomics, Microbiology, Phylogeny	Phylogenetic tree generation (maximum likelihood and Bayesian methods), Phylogenetic tree generation (from molecular sequences)	2025-03-14	2025-03-14	1	True	False	False	False	upload1, fasttree	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)		0		18	21	6.116666666666666	0
Genome Annotation	Genome annotation with Prokka	https://training.galaxyproject.org//topics/genome-annotation/tutorials/annotation-with-prokka/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Genome annotation, Gene prediction, Genome visualisation, Coding region prediction	2018-03-06	2025-03-19	26	True	True	True	True	jbrowse, prokka	UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org.au	0		2483836	6761699	4.45	0
