Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Single Cell	Analysis of plant scRNA-Seq Data with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-plant/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2021-04-08	2026-06-25	8	True	False	True	True	scanpy_cluster_reduce_dimension, scanpy_filter, scanpy_inspect, scanpy_normalize, anndata_manipulate, scanpy_plot, anndata_import, scanpy_remove_confounders	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		3217	4003	6.1	0
Proteomics	Multiomics data analysis using MultiGSEA	https://training.galaxyproject.org//topics/proteomics/tutorials/multiGSEA-tutorial/tutorial.html		Pathway analysis, Gene-set enrichment analysis, Aggregation	2025-03-10	2025-03-11	2	True	False	False	True	multigsea, Filter1, tp_grep_tool	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz	0		574	638	5.333333333333333	0
Single Cell	Bulk RNA Deconvolution with MuSiC	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-music/tutorial.html			2022-02-11	2026-06-25	11	True	False	True	True	music_construct_eset, music_deconvolution, music_inspect_eset	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)		0		4573	5696	4.016666666666667	0
Single Cell	GO Enrichment Analysis on Single-Cell RNA-Seq Data	https://training.galaxyproject.org//topics/single-cell/tutorials/GO-enrichment/tutorial.html		Gene-set enrichment analysis	2024-09-17	2026-06-25	9	True	True	False	True	Cut1, gprofiler_gost, goenrichment, tp_split_on_column	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no, UseGalaxy.org (Main)		0		1832304	3426043	5.716666666666667	0
Single Cell	Generating a single cell matrix using Alevin	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_alevin/tutorial.html		Gene expression analysis, RNA-Seq quantification, Sequence composition calculation	2021-03-03	2025-11-18	25	True	False	True	True	sceasy_convert, _salmon_kallisto_mtx_to_10x, dropletutils_empty_drops, anndata_inspect, dropletutils_read_10x, Cut1, _ensembl_gtf2gene_list, anndata_manipulate, join1, alevin, _dropletBarcodePlot	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		3889	5851	10.933333333333334	0
Single Cell	Pre-processing of 10X Single-Cell ATAC-seq Datasets	https://training.galaxyproject.org//topics/single-cell/tutorials/scatac-preprocessing-tenx/tutorial.html		Differential gene expression analysis, Peak calling, Genome indexing, Sequencing quality control, Sequence composition calculation, Read mapping, Gene regulatory network analysis, Visualisation, Principal component visualisation, Mapping, Statistical calculation, Generation, Imputation, Enrichment analysis, Expression profile clustering, Sequence alignment	2023-04-24	2025-10-16	10	True	False	False	True	sinto_barcode, anndata_inspect, episcanpy_build_matrix, episcanpy_preprocess, scanpy_plot, sinto_fragments, falco, macs2_callpeak, bedtools_sortbed, tp_sorted_uniq, fastqc, bwa_mem	UseGalaxy.org.au, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz	0		6677	7857	2.433333333333333	0
Single Cell	Pseudobulk Analysis with Decoupler and EdgeR	https://training.galaxyproject.org//topics/single-cell/tutorials/pseudobulk-analysis/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2025-02-12	2025-05-09	8	True	False	True	True	tp_replace_in_column, anndata_inspect, column_remove_by_header, scanpy_filter, tp_replace_in_line, __EXTRACT_DATASET__, decoupler_pseudobulk, anndata_manipulate, tp_awk_tool, volcanoplot, edger	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.cz	0		2427	2748	2.85	0
Single Cell	Pre-processing of 10X Single-Cell RNA Datasets	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-preprocessing-tenx/tutorial.html		Validation, Loading, Sequencing quality control, Community profiling, Sequence alignment	2019-09-11	2025-04-29	13	True	False	True	True	rna_starsolo, dropletutils, multiqc	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.fr, UseGalaxy.no	0		14284	18473	5.783333333333333	0
Single Cell	Generating a single cell matrix using Alevin and combining datasets (bash + R)	https://training.galaxyproject.org//topics/single-cell/tutorials/alevin-commandline/tutorial.html			2023-12-08	2025-04-22	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		780	1031	10.05	0
Single Cell	Understanding Barcodes	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-umis/tutorial.html		Statistical calculation, Sequencing quality control, Sequence composition calculation	2019-02-20	2026-06-25	12	True	False	True	True	umi_tools_extract, seq_filter_by_id, fastqc	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, UseGalaxy.no	0		6968	8636	5.1	0
Single Cell	Filter, plot, and explore single cell RNA-seq data with Seurat (R)	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_FilterPlotandExploreRStudio/tutorial.html			2023-10-02	2025-03-11	11	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		3894	4405	3.3	0
Single Cell	Clustering 3K PBMCs with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-scanpy-pbmc3k/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2019-12-19	2026-05-05	17	True	True	True	True	scanpy_cluster_reduce_dimension, datamash_ops, anndata_inspect, scanpy_filter, scanpy_inspect, scanpy_normalize, anndata_manipulate, celltypist, scanpy_plot, anndata_import, scanpy_remove_confounders	UseGalaxy.eu		0		3936756	9264441	8.016666666666667	0
